Date;Price;Open;High;Low;Vol.;Change %
01/19/2011;117.434;114.470;118.158;113.153;7.54M;3.00%
01/18/2011;114.009;112.362;115.063;112.297;5.63M;1.76%
01/17/2011;112.033;112.494;113.877;111.111;3.51M;-0.76%
01/14/2011;112.889;111.440;113.285;110.913;5.64M;0.82%
01/13/2011;111.967;109.003;112.955;109.003;10.00M;2.78%
01/12/2011;108.938;99.322;109.003;99.058;10.87M;9.68%
01/11/2011;99.322;98.004;99.519;96.358;5.73M;2.31%
01/10/2011;97.082;100.046;100.112;97.082;5.52M;-3.66%
01/07/2011;100.771;102.219;102.746;99.717;5.80M;-1.61%
01/06/2011;102.417;104.261;105.381;102.417;3.16M;-1.52%
01/05/2011;103.998;104.327;104.591;102.285;3.53M;-0.69%
01/04/2011;104.722;104.261;105.776;103.339;3.87M;0.38%
01/03/2011;104.327;103.734;106.632;103.142;3.10M;2.33%
12/30/2010;101.956;105.052;105.710;101.956;2.59M;-3.13%
12/29/2010;105.249;106.171;106.435;105.052;1.74M;-0.44%
12/28/2010;105.710;106.962;107.752;105.513;1.60M;-0.68%
12/27/2010;106.435;108.806;109.069;105.908;1.60M;-1.88%
12/23/2010;108.477;109.333;109.860;107.950;1.86M;-0.30%
12/22/2010;108.806;109.003;110.452;108.411;3.43M;-0.42%
12/21/2010;109.267;106.105;109.267;106.040;4.15M;3.49%
12/20/2010;105.578;102.615;106.303;101.297;4.66M;2.56%
12/17/2010;102.944;107.027;107.159;102.812;5.90M;-3.22%
12/16/2010;106.369;107.093;107.686;105.315;5.61M;-0.86%
12/15/2010;107.291;110.518;110.716;107.027;6.42M;-4.18%
12/14/2010;111.967;112.428;112.758;110.518;4.19M;-0.47%
12/13/2010;112.494;112.297;113.021;109.860;5.23M;0.41%
12/10/2010;112.033;113.943;114.272;111.638;3.62M;-1.56%
12/09/2010;113.811;112.626;114.338;112.099;5.38M;2.01%
12/08/2010;111.572;108.213;112.362;107.554;4.63M;2.36%
12/07/2010;109.003;108.674;110.387;107.554;5.11M;0.49%
12/06/2010;108.477;111.967;112.231;108.213;5.81M;-2.83%
12/03/2010;111.638;109.069;111.638;107.884;8.60M;2.60%
12/02/2010;108.806;106.237;108.806;103.866;13.81M;4.03%
12/01/2010;104.591;99.124;105.118;98.729;9.30M;6.51%
11/30/2010;98.202;101.758;101.956;97.675;10.12M;-3.37%
11/29/2010;101.627;106.566;107.620;101.627;7.91M;-3.50%
11/26/2010;105.315;105.249;106.171;102.944;5.99M;-0.93%
11/25/2010;106.303;106.040;106.962;103.471;4.47M;0.25%
11/24/2010;106.040;107.159;107.752;104.722;5.79M;-0.86%
11/23/2010;106.962;108.477;110.123;106.369;6.85M;-2.23%
11/22/2010;109.399;113.943;113.943;108.740;4.71M;-2.41%
11/19/2010;112.099;114.865;114.931;110.848;4.65M;-1.73%
11/18/2010;114.075;113.153;114.536;112.494;3.76M;1.76%
11/17/2010;112.099;112.758;113.614;110.716;4.02M;-0.47%
11/16/2010;112.626;113.680;114.470;112.626;3.85M;-1.89%
11/15/2010;114.799;114.404;115.326;112.955;3.83M;0.52%
11/12/2010;114.207;110.452;115.721;107.752;7.78M;1.11%
11/11/2010;112.955;115.458;116.183;110.848;6.17M;-1.27%
11/10/2010;114.404;117.895;118.488;113.548;5.84M;-4.61%
11/09/2010;119.937;118.619;120.859;118.158;3.27M;1.22%
11/08/2010;118.488;117.895;118.883;116.644;3.64M;0.78%
11/05/2010;117.566;121.517;122.242;116.973;6.22M;-2.99%
11/04/2010;121.188;120.991;122.374;120.661;3.41M;2.00%
11/03/2010;118.817;122.242;122.505;118.751;3.24M;-2.38%
11/02/2010;121.715;118.554;121.781;118.290;3.50M;2.38%
11/01/2010;118.883;123.888;124.415;118.356;3.97M;-3.63%
10/29/2010;123.362;124.152;124.613;122.900;2.88M;-1.32%
10/28/2010;125.008;124.876;125.996;124.218;2.35M;0.64%
10/27/2010;124.218;123.230;126.062;122.900;3.45M;0.11%
10/26/2010;124.086;123.823;125.074;123.296;2.65M;-0.32%
10/25/2010;124.481;126.589;126.721;123.888;2.95M;-0.79%
10/22/2010;125.469;126.852;126.918;125.469;2.94M;-1.55%
